Month,total_by_Month,member_casual,weekday_start,by_month_and_type,percentage
08,804352,member,6,53203,6.614
08,804352,member,7,51354,6.385
09,756147,casual,1,68661,9.08
09,756147,casual,2,43447,5.746
09,756147,casual,3,31822,4.208
09,756147,casual,4,45089,5.963
09,756147,casual,5,50634,6.696
09,756147,casual,6,49902,6.6
09,756147,casual,7,74335,9.831
09,756147,member,1,46641,6.168
09,756147,member,2,49180,6.504
09,756147,member,3,52000,6.877
09,756147,member,4,70055,9.265
09,756147,member,5,71526,9.459
09,756147,member,6,53043,7.015
09,756147,member,7,49812,6.588
10,631226,casual,1,52642,8.34
10,631226,casual,2,22052,3.494
10,631226,casual,3,27082,4.29
10,631226,casual,4,26859,4.255
10,631226,casual,5,22329,3.537
10,631226,casual,6,39531,6.263
10,631226,casual,7,66747,10.574
10,631226,member,1,48138,7.626
10,631226,member,2,41663,6.6
10,631226,member,3,57564,9.119
10,631226,member,4,57726,9.145
10,631226,member,5,47121,7.465
10,631226,member,6,59796,9.473
10,631226,member,7,61976,9.818
11,359978,casual,1,17446,4.846
11,359978,casual,2,14799,4.111
11,359978,casual,3,16139,4.483
11,359978,casual,4,13793,3.832
11,359978,casual,5,11192,3.109
11,359978,casual,6,12998,3.611
11,359978,casual,7,20562,5.712
11,359978,member,1,26557,7.377
11,359978,member,2,45056,12.516
11,359978,member,3,51160,14.212
11,359978,member,4,39360,10.934
11,359978,member,5,31448,8.736
11,359978,member,6,30111,8.365
11,359978,member,7,29357,8.155
12,247540,casual,1,8437,3.408
12,247540,casual,2,7733,3.124
12,247540,casual,3,6239,2.52
12,247540,casual,4,10704,4.324
12,247540,casual,5,12586,5.084
12,247540,casual,6,12954,5.233
12,247540,casual,7,11085,4.478
12,247540,member,1,15396,6.22
12,247540,member,2,22485,9.083
12,247540,member,3,22147,8.947
12,247540,member,4,34038,13.751
12,247540,member,5,35181,14.212
12,247540,member,6,29484,11.911
12,247540,member,7,19071,7.704
